variant,fid,dim,seed,error,seconds
shuffled,21,50,11,6404.797432170693,117.77
shuffled,21,50,12,6001.71273388354,112.188
shuffled,21,50,13,5027.562813236694,112.564
shuffled,21,50,14,4949.032115682115,110.857
shuffled,21,50,15,5971.718205733478,118.853
shuffled,21,50,16,5120.360592016519,115.481
shuffled,21,50,17,4457.452233398283,117.442
shuffled,21,50,18,5484.635915531208,113.135
shuffled,21,50,19,5926.340808090401,113.491
shuffled,21,50,2,6529.51488520768,116.56
shuffled,21,50,20,5291.652771267246,110.634
shuffled,21,50,21,6141.774722964921,111.548
shuffled,21,50,22,6518.228786255686,116.188
shuffled,21,50,23,5225.380034251021,108.683
shuffled,21,50,24,5116.024346663093,108.551
shuffled,21,50,25,6642.449528704619,112.875
shuffled,21,50,26,5120.253194743712,112.831
shuffled,21,50,27,6579.095644619756,109.291
shuffled,21,50,28,7356.107379861638,109.993
shuffled,21,50,29,7918.3888467732395,109.793
shuffled,21,50,3,6468.61314156988,111.763
shuffled,21,50,4,5022.158027381478,113.014
shuffled,21,50,5,6129.005343582796,113.635
shuffled,21,50,6,6792.757596158757,106.168
shuffled,21,50,7,5664.848337714356,111.85
shuffled,21,50,8,6652.212109950135,118.2
shuffled,21,50,9,7088.543088396862,114.003
shuffled,22,50,0,1662.980899284346,119.194
shuffled,22,50,1,1722.7320354569956,128.208
shuffled,22,50,10,2005.6252659203037,129.895
shuffled,22,50,11,1891.367933384045,128.944
shuffled,22,50,12,1620.9417858436827,115.499
shuffled,22,50,13,201.6207219930575,129.281
shuffled,22,50,14,201.51496952314528,128.342
shuffled,22,50,15,201.44521680007256,123.707
shuffled,22,50,16,201.90129508748578,125.809
shuffled,22,50,17,2151.6887239044518,128.254
shuffled,22,50,18,2978.474958451673,117.453
shuffled,22,50,19,2408.182928061291,127.891
shuffled,22,50,2,1965.9377483191674,131.72
shuffled,22,50,20,2285.8926017499234,131.368
shuffled,22,50,21,1919.123011826765,131.921
shuffled,22,50,22,201.81233608463663,126.973
shuffled,22,50,23,1411.9550207790335,132.041
shuffled,22,50,24,2329.4440198719294,117.034
shuffled,22,50,25,2777.376082373521,127.762
shuffled,22,50,26,1663.644297444438,131.98
shuffled,22,50,27,1768.1546343569548,130.605
shuffled,22,50,28,2178.843709333564,132.364
shuffled,22,50,29,201.90035821711217,128.292
shuffled,22,50,3,2577.3212059835196,127.937
shuffled,22,50,4,201.69874980320128,124.391
shuffled,22,50,5,2985.5964167097472,130.883
shuffled,22,50,6,2458.6623108388585,122.37
shuffled,22,50,7,201.32495390476151,129.852
shuffled,22,50,8,2281.8591935110544,127.038
shuffled,22,50,9,201.78858742233388,128.136
shuffled,23,50,0,201.1833548790769,99.564
shuffled,23,50,1,1337.6645760861816,99.602
shuffled,23,50,10,1828.8538070874538,101.17
shuffled,23,50,11,1143.2332862014919,104.058
shuffled,23,50,12,200.86312729288466,100.772
shuffled,23,50,13,200.93767848357038,103.837
shuffled,23,50,14,200.87070176693578,186.345
shuffled,23,50,15,201.05869667112802,103.437
shuffled,23,50,16,201.07828617672794,102.396
shuffled,23,50,17,201.33934631465308,170.345
shuffled,23,50,18,200.9948907955104,99.875
shuffled,23,50,19,1106.844336686795,105.98
shuffled,23,50,2,1142.2942325301851,103.324
shuffled,23,50,20,1371.9816325315805,165.74
shuffled,23,50,21,201.19634491658553,179.996
shuffled,23,50,22,1131.1600938173342,150.48
shuffled,23,50,23,200.7836409030101,171.52
shuffled,23,50,24,200.9152632621317,102.179
shuffled,23,50,25,200.81512706970534,99.945
shuffled,23,50,26,1401.1483050318966,166.84
shuffled,23,50,27,201.14285387599512,169.441
shuffled,23,50,28,988.0662833028764,174.109
shuffled,23,50,29,1205.151409007366,166.001
shuffled,23,50,3,200.83413369919435,102.578
shuffled,23,50,4,201.14722751117142,101.366
shuffled,23,50,5,200.96248519604615,102.531
shuffled,23,50,6,201.1245684672108,98.21
shuffled,23,50,7,200.94068351779242,99.321
shuffled,23,50,8,200.961410530148,129.044
shuffled,23,50,9,200.87740718048417,101.613
shuffled,24,50,0,973.5798692542953,106.343
shuffled,24,50,1,952.5822920737728,111.708
shuffled,24,50,10,1090.5283886937386,193.293
shuffled,24,50,11,957.5655773489907,194.633
shuffled,24,50,12,1168.7517256534038,112.05
shuffled,24,50,13,942.6038307918984,115.806
shuffled,24,50,14,1125.4259072869172,143.707
shuffled,24,50,15,1183.5615509321956,194.848
shuffled,24,50,16,890.49654823437,194.962
shuffled,24,50,17,1086.936995486648,185.479
shuffled,24,50,18,1082.8011116640132,110.312
shuffled,24,50,19,1152.0234853791862,110.052
shuffled,24,50,2,1416.3000985895128,194.132
shuffled,24,50,20,1101.8466946071403,174.858
shuffled,24,50,21,998.7304206956587,177.24
shuffled,24,50,22,1000.6224875166313,193.058
shuffled,24,50,23,1043.4014324787286,143.493
shuffled,24,50,24,1043.9130059023819,115.18
shuffled,24,50,25,951.1085942596515,112.039
shuffled,24,50,26,1351.6076943160706,179.273
shuffled,24,50,27,895.1942617732202,143.883
shuffled,24,50,28,1007.0984126526137,143.878
shuffled,24,50,29,892.599123691708,174.771
shuffled,24,50,3,1232.2103536349823,191.613
shuffled,24,50,4,936.9873688807684,191.015
shuffled,24,50,5,1065.9889519828648,193.717
shuffled,24,50,6,1189.858075607001,105.39
shuffled,24,50,7,948.0717300661845,113.131
shuffled,24,50,8,1297.493636387239,193.259
shuffled,24,50,9,1129.7253706016754,192.307
shuffled,25,50,0,1403.3036411245484,560.371
shuffled,25,50,1,1216.7221848967092,635.04
shuffled,25,50,10,1776.9715534741727,794.916
shuffled,25,50,11,1289.12320419173,905.532
shuffled,25,50,12,0.0013257403065836115,806.679
shuffled,25,50,13,1504.047666300557,698.584
shuffled,25,50,14,747.1532105406759,911.978
shuffled,25,50,15,1279.5397170154479,921.064
shuffled,25,50,16,1437.2056500998633,930.807
shuffled,25,50,17,1261.034060091471,917.511
shuffled,25,50,18,1246.1671629265893,695.427
shuffled,25,50,19,1052.1592079087668,931.06
shuffled,25,50,2,1294.6186090989272,631.02
shuffled,25,50,20,1277.3246968440085,884.514
shuffled,25,50,21,0.0017879105321298994,843.3
shuffled,25,50,22,1204.6088419226721,863.293
shuffled,25,50,23,1255.6639573821813,887.14
shuffled,25,50,24,1243.9017477824245,932.33
shuffled,25,50,25,1424.336565872566,823.962
shuffled,25,50,26,2105.455837012255,908.294
shuffled,25,50,27,1125.1077043967862,1003.259
shuffled,25,50,28,1285.8013422368495,1023.734
shuffled,25,50,29,1430.8185681968316,998.968
shuffled,25,50,3,1431.0274418525041,761.267
shuffled,25,50,4,1305.261819772586,761.517
shuffled,25,50,5,1618.016139370986,668.976
shuffled,25,50,6,1582.2715221247477,853.281
shuffled,25,50,7,1589.1786542394084,809.981
shuffled,25,50,8,1223.0357106800911,937.495
shuffled,25,50,9,1354.9556388890237,795.587
shuffled,26,50,0,3113.680466346221,860.494
shuffled,26,50,1,2505.066528649908,995.643
