config,N,K,p,arm,chi,n_eff,entropy
paper defaults,200,4,0.3,social,0.56229062224789,0.7597798421360079,0.8952651644440207
paper defaults,200,4,0.3,social,0.5031172800841487,0.798003715489037,0.9313831208743256
paper defaults,200,4,0.3,social,0.37202121283635925,0.8784260284556629,0.940558041600174
paper defaults,200,4,0.3,social,0.246814799158699,0.9425803208118874,0.9727254802145365
paper defaults,200,4,0.3,social,0.5093109415174314,0.794030393650369,0.9074181014383397
paper defaults,200,4,0.3,social,0.21489228838217603,0.9558596482607842,0.9829728183767198
paper defaults,200,4,0.3,social,0.47074937634439973,0.8185952252944744,0.8787389332045236
paper defaults,200,4,0.3,social,0.3615837306396913,0.8843744174832472,0.9498057469938612
paper defaults,200,4,0.3,social,0.32310542669146564,0.9054713968613161,0.9499505019643038
paper defaults,200,4,0.3,social,0.44597757573218905,0.8341007073353525,0.9133296709959828
paper defaults,200,4,0.3,social,0.4307262857837514,0.8435080555786199,0.9302634936234708
paper defaults,200,4,0.3,social,0.34128924015829976,0.895673439684037,0.9564597860090785
paper defaults,200,4,0.3,social,0.41947084648318367,0.8503721037911542,0.9335237397092752
paper defaults,200,4,0.3,social,0.46073168785525415,0.8248962340260004,0.94363760499992
paper defaults,200,4,0.3,social,0.3995309689439632,0.8623477453370166,0.923746915330426
paper defaults,200,4,0.3,social,0.47466461249856695,0.8161223372309081,0.9155839166683996
paper defaults,200,4,0.3,social,0.32823616137519296,0.9027397430174315,0.9473113856960345
paper defaults,200,4,0.3,social,0.36880053314868344,0.8802709709427186,0.9560844860471207
paper defaults,200,4,0.3,social,0.6376304579353049,0.7109480160281387,0.6826620344913286
paper defaults,200,4,0.3,social,0.36908437853247134,0.8801087065745293,0.9415497508222496
paper defaults,200,4,0.3,social,0.7653825211310452,0.630592407324671,0.7127946590334518
paper defaults,200,4,0.3,social,0.6334896382117121,0.7136184190190884,0.8554249780880858
paper defaults,200,4,0.3,social,0.572819545359339,0.7529427459671322,0.9087971993856068
paper defaults,200,4,0.3,social,0.43776783740976355,0.8391791395073989,0.923553573696603
paper defaults,200,4,0.3,social,0.4916229976645006,0.8053519361180735,0.8678521297151983
paper defaults,200,4,0.3,social,0.6551786316309228,0.6996632328158945,0.8406277835885015
paper defaults,200,4,0.3,social,0.2516059992154575,0.9404634188882945,0.9719232885207818
paper defaults,200,4,0.3,social,0.5350638230472203,0.7774276707295347,0.8787839125996328
paper defaults,200,4,0.3,social,0.7112984417012228,0.6640346664725355,0.8403574082303348
paper defaults,200,4,0.3,social,0.16731620080476986,0.9727676506982212,0.9921427055335417
paper defaults,200,4,0.3,social,0.4030892942164925,0.8602291288791033,0.9399870332156575
paper defaults,200,4,0.3,social,0.3917465253686059,0.8669527945070589,0.9440686845031293
paper defaults,200,4,0.3,social,0.30604223023273136,0.9143594091997885,0.9756371137623507
paper defaults,200,4,0.3,social,0.4059972674457207,0.8584915858060477,0.9394308735238974
paper defaults,200,4,0.3,social,0.28789200137229387,0.9234618181659042,0.9393588838772498
paper defaults,200,4,0.3,social,0.6292160804550068,0.7163770871824616,0.8260680742998069
