variant,function,seed,best,evals,seconds
social,Rosenbrock,9,1430.0425589982924,20000,1.5350815999991028
social,Rosenbrock,10,3053.5669892329906,20000,1.5248393999936525
social,Rosenbrock,11,2479.1258090569545,20000,1.4875470999977551
social,Rosenbrock,12,443.36062277087956,20000,1.4810803000000305
social,Rosenbrock,13,2539.4645070378297,20000,1.4495093000005
social,Rosenbrock,14,1398.6226342241432,20000,1.4691928999964148
social,Rosenbrock,15,1310.506115357244,20000,1.4596189000003505
social,Rosenbrock,16,2174.449116882256,20000,1.5411372000089614
social,Rosenbrock,17,1215.890822346422,20000,1.487786599987885
social,Rosenbrock,18,919.8124113996851,20000,1.5985217999987071
social,Rosenbrock,19,974.800469867939,20000,1.6124574999994365
social,Rosenbrock,20,969.074349539661,20000,1.603434999997262
social,Rosenbrock,21,2546.688475677892,20000,1.6260171000030823
social,Rosenbrock,22,1391.4139825729562,20000,1.6434799999988172
social,Rosenbrock,23,1448.46396288172,20000,1.5477285999950254
social,Rosenbrock,24,1177.980583118869,20000,1.558961000002455
social,Rosenbrock,25,185.45699833396432,20000,1.5245565999939572
social,Rosenbrock,26,726.7074446151504,20000,1.5328385000029812
social,Rosenbrock,27,762.3601168397879,20000,1.5864877999993041
social,Rosenbrock,28,2366.134824018951,20000,1.585067699998035
social,Rosenbrock,29,1038.1949695538297,20000,1.6429390999983298
social,Step,0,0.0,20000,1.0674646999977995
social,Step,1,0.0,20000,1.0652499999996508
social,Step,2,385.0,20000,1.0256131000060122
social,Step,3,339.0,20000,0.9972618000028888
social,Step,4,355.0,20000,0.9819050999940373
social,Step,5,0.0,20000,1.016289200008032
social,Step,6,233.0,20000,0.9284659999975702
social,Step,7,215.0,20000,0.9639100000058534
social,Step,8,562.0,20000,0.9746714999928372
social,Step,9,154.0,20000,0.9594597999966936
social,Step,10,398.0,20000,1.0134166000061668
social,Step,11,0.0,20000,0.9487149999913527
social,Step,12,185.0,20000,0.9322393000038574
social,Step,13,290.0,20000,0.9433871999935945
social,Step,14,218.0,20000,0.9176240999950096
social,Step,15,0.0,20000,0.9631526000011945
social,Step,16,444.0,20000,0.9443116000038572
social,Step,17,213.0,20000,0.939889300003415
social,Step,18,302.0,20000,2.2825292000052286
social,Step,19,15.0,20000,2.411187500008964
social,Step,20,448.0,20000,2.352820400003111
social,Step,21,178.0,20000,2.6215172999945935
social,Step,22,0.0,20000,2.6761337999923853
social,Step,23,329.0,20000,2.8033533999987412
social,Step,24,219.0,20000,3.060144200004288
social,Step,25,0.0,20000,3.0679344999953173
social,Step,26,268.0,20000,2.990105600008974
social,Step,27,23.0,20000,3.0216639999998733
social,Step,28,360.0,20000,2.9780778999993345
social,Step,29,315.0,20000,2.9967413999984274
social,Schwefel_2_26,0,-20132.50452354996,20000,3.0572041000123136
social,Schwefel_2_26,1,-19309.58628372183,20000,2.996117900009267
social,Schwefel_2_26,2,-19327.897081348754,20000,3.022390899990569
social,Schwefel_2_26,3,-17335.191564185785,20000,3.0272783000109484
social,Schwefel_2_26,4,-19232.238438249136,20000,3.026240199993481
social,Schwefel_2_26,5,-19966.252629154176,20000,3.0804703000030713
social,Schwefel_2_26,6,-19127.552804113693,20000,2.9711317000037525
social,Schwefel_2_26,7,-19506.64881219965,20000,3.0122097999992548
social,Schwefel_2_26,8,-19894.140936153883,20000,3.014432600000873
social,Schwefel_2_26,9,-18175.784377375126,20000,3.0344910999992862
social,Schwefel_2_26,10,-19906.955055942904,20000,2.975422899995465
social,Schwefel_2_26,11,-19050.67090338304,20000,2.9773453999951016
social,Schwefel_2_26,12,-20122.842429129694,20000,2.997312100007548
social,Schwefel_2_26,13,-19357.82211793928,20000,2.984258399999817
social,Schwefel_2_26,14,-17268.481013739107,20000,2.991220500000054
social,Schwefel_2_26,15,-18572.94760596697,20000,2.9772586999897612
social,Schwefel_2_26,16,-20891.083456998207,20000,3.00881389999995
social,Schwefel_2_26,17,-18734.316630694404,20000,2.9917719999939436
social,Schwefel_2_26,18,-20147.849050412755,20000,2.9850524999928894
