variant,function,seed,best,seconds
fixed_K16,Penalized2,22,0.06982631661948391,6.848
fixed_K16,Penalized2,23,0.46805460875504495,6.889
fixed_K16,Penalized2,24,0.03057885156981395,6.883
fixed_K16,Penalized2,25,0.5409171889046464,6.859
fixed_K16,Penalized2,26,0.1548288067836291,7.012
fixed_K16,Penalized2,27,0.5644967998407376,6.843
fixed_K16,Penalized2,28,3.180511741941659,6.866
fixed_K16,Penalized2,29,0.8886043672460167,6.863
fixed_K16,Penalized2,3,2.2695327968085066,6.75
fixed_K16,Penalized2,4,0.03176776651472352,6.794
fixed_K16,Penalized2,5,10.45674468826546,6.72
fixed_K16,Penalized2,6,0.5046024282331926,6.822
fixed_K16,Penalized2,7,0.0003114610470332578,6.803
fixed_K16,Penalized2,8,0.0005416257197563541,6.782
fixed_K16,Penalized2,9,1.3215955187588384,6.883
fixed_K16,Penalized,0,1.5296946814753938,7.508
fixed_K16,Penalized,1,2.0370805910606564,7.568
fixed_K16,Penalized,10,1.660966374724864,7.612
fixed_K16,Penalized,11,2.1318783108548973,7.627
fixed_K16,Penalized,12,2.665951235561927,7.691
fixed_K16,Penalized,13,2.426523685970523,7.708
fixed_K16,Penalized,14,0.023397224653877675,7.692
fixed_K16,Penalized,15,1.0663670273774466,7.669
fixed_K16,Penalized,16,4.584506053528211,7.691
fixed_K16,Penalized,17,1.3231739144204344,7.757
fixed_K16,Penalized,18,2.1209499678041572,7.759
fixed_K16,Penalized,19,4.520670245376146,7.799
fixed_K16,Penalized,2,1.7936901853765002,7.596
fixed_K16,Penalized,20,2.5584505174316647,7.757
fixed_K16,Penalized,21,1.46317789887388,7.751
fixed_K16,Penalized,22,2.3107359155204947,7.771
fixed_K16,Penalized,23,1.7530476256396093,7.742
fixed_K16,Penalized,24,1.7414890198883681,7.829
fixed_K16,Penalized,25,4.655756745164481,7.936
fixed_K16,Penalized,26,1.9125871060095205,7.849
fixed_K16,Penalized,27,1.3643004522868125,7.873
fixed_K16,Penalized,28,4.917843324508759,7.875
fixed_K16,Penalized,29,2.3898761759512803,7.82
fixed_K16,Penalized,3,3.233680656287543,7.526
fixed_K16,Penalized,4,1.3229095065218144,7.615
fixed_K16,Penalized,5,2.01482311936585,7.533
fixed_K16,Penalized,6,0.7212166394621987,7.598
fixed_K16,Penalized,7,2.002754324958104,7.669
fixed_K16,Penalized,8,0.8644872312920706,7.65
fixed_K16,Penalized,9,1.2639915485859061,7.633
fixed_K16,Quartic,0,5.993465002504851e-10,5.459
fixed_K16,Quartic,1,2.853248926418796e-09,5.406
fixed_K16,Quartic,10,1.5850158594404532e-09,5.433
fixed_K16,Quartic,11,4.324693624069457e-11,5.526
fixed_K16,Quartic,12,1.5750575968582602e-08,5.517
fixed_K16,Quartic,13,2.5735252620335945e-09,5.494
fixed_K16,Quartic,14,8.975421873142681e-09,5.437
fixed_K16,Quartic,15,7.53224490788306e-10,5.493
fixed_K16,Quartic,16,2.0708919586085955e-09,5.483
fixed_K16,Quartic,17,1.3097759858133324e-09,5.561
fixed_K16,Quartic,18,3.3159678952870465e-09,5.536
fixed_K16,Quartic,19,6.2394993560052916e-09,5.492
fixed_K16,Quartic,2,3.688419967987668e-09,5.386
fixed_K16,Quartic,20,2.0045059122876634e-09,5.502
fixed_K16,Quartic,21,1.6248251168385958e-09,5.475
fixed_K16,Quartic,22,1.6842062660351445e-10,5.529
fixed_K16,Quartic,23,9.136391630109345e-10,5.513
fixed_K16,Quartic,24,1.3108592601420215e-09,5.43
fixed_K16,Quartic,25,2.0329931616577155e-09,5.514
fixed_K16,Quartic,26,5.570401540387141e-09,5.518
fixed_K16,Quartic,27,1.0890111403414524e-10,5.514
fixed_K16,Quartic,28,2.5197321606326485e-09,5.537
fixed_K16,Quartic,29,3.231538396459862e-11,5.561
fixed_K16,Quartic,3,2.588694402647299e-10,5.475
fixed_K16,Quartic,4,6.97127467357054e-10,5.428
fixed_K16,Quartic,5,5.8782786499776505e-09,5.471
fixed_K16,Quartic,6,4.34832205775294e-09,5.464
fixed_K16,Quartic,7,2.6563965956316784e-09,5.389
fixed_K16,Quartic,8,9.830637568417716e-10,5.488
fixed_K16,Quartic,9,5.214010113996609e-09,5.459
fixed_K16,Rastrigin,0,0.17912439374134692,4.541
fixed_K16,Rastrigin,1,0.43837800333960786,4.633
fixed_K16,Rastrigin,10,0.04127288671753604,4.626
fixed_K16,Rastrigin,11,6.241279005429988,4.587
fixed_K16,Rastrigin,12,0.3604156346490299,4.54
fixed_K16,Rastrigin,13,12.938345857272168,4.558
fixed_K16,Rastrigin,14,4.8045457466687935,4.571
fixed_K16,Rastrigin,15,3.98639607144014,4.539
fixed_K16,Rastrigin,16,1.4568048259679358,4.544
fixed_K16,Rastrigin,17,0.5294345674292913,4.199
